,Անուն ազգանուն կամ կազմակերպություն,Ջրօգտագործման թույլտվության տեսակ,Ջրօգտագործման թույլտվության գործողության սկիզբ,Ջրօգտագործման թույլտվության գործողության վերջ,Ջրավազան,Ջրային ռեսուրսի անվանում,Ջրային ռեսուրսի տիպ,"Ջրառի վայր (մարզ, համայնք, բնակավայր)","Ջրօգտագործման վայր (մարզ, համայնք, բնակավայր)",Ջրօգտագործման նպատակ,Ջրառի ծավալ(հազ մ3/ տարի),Ջրային ռեսուրսի անվանում,Ջրահեռացման ծավալ(հազ մ3/ տարի),Ջրահեռացման ծավալ(լ/վրկ),Թույլտվության ժամկետ (տարով),Ջրառի տարեկան ծավալ (հազ մ3/տար)
1,«Տավրոս-Գրիգ»(ՍՊԸ),Նոր,2016-08-31,2041-08-31,Արարատյան,2 գործող խորքային հոր.,Ստորերկրյա,Արարատ գ. Ոսկետափ,Տվյալ չկա,ոռոգում,9.88,Տվյալ չկա,22.976,45.0,25.02,0.39
2,«Թեգաար»(ՍՊԸ),Նոր,2016-08-31,2041-08-31,Արարատյան,1 գործող խորքային հոր,Ստորերկրյա,Արարատ գ. Արալեզ,Արարատ գ. Արալեզ,Արդյունաբերական,31.533,Արաքս գետ,7.873,0.25,25.02,1.26
3,«Վիվաքս»(ՍՊԸ),Նոր,2017-01-11,2042-01-11,Արարատյան,Փշոնք վտակ Արփա գետի,Մակերևութային,Վայոց ձոր գ. Զառիթափ,Վայոց ձոր գ. Զառիթափ,Արդյունաբերական /տեխնիկական/,0.107,կոյուղու կոլեկտոր,0.064,0.002,25.02,0.0
4,Կառլեն Հակոբյան,Նոր,2016-11-09,2041-11-09,Արարատյան,1 գործող խորքային հոր.,Ստորերկրյա,Արարատ գ. Արալեզ,Արարատ գ. Արալեզ,ոռոգում,4.69,Տվյալ չկա,22.976,45.0,25.02,0.19
5,«Նարէներգո»(ՍՊԸ) «Գառնի» ՓՀԷԿ,Երկարաձգված,2019-10-03,2026-10-03,Արարատյան,Ժայռի տակի աղբյուրներ,Ստորերկրյա,Կոտայք գ. Գառնի,Կոտայք գ. Գառնի,ոռոգում,25.6,Գողթ վտակ՝ Ազատ գետի,15500.0,997.0,7.01,3.65
6,Սյունիքի մարզ Կապան համայնքի Դավիթ Բեկ բնակավայր(ՏԻՄ),Նոր,2020-11-24,2025-11-24,Հարավային,«Քարաղբյուր» կոչվող բնական աղբյուր,Ստորերկրյա,Սյունիք Կապան գ. Դավիթ Բեկ,Սյունիք Կապան գ. Դավիթ Բեկ,Խմելու-կենցաղային,19.531,Տվյալ չկա,22.976,45.0,5.0,3.91
7,Վայոց ձորի մարզ Եղեգիս համայնքի Քարագլուխ բնակավայր(ՏԻՄ),Նոր,2020-12-14,2025-12-14,Արարատյան,«Քարանոց» և «Ջվլղ ձորի» կոչվող բնական աղբյուրներ,Ստորերկրյա,Վայոց ձոր Եղեգիս գ. Քարագլուխ; Վայոց ձոր Եղեգիս գ. Քարագլուխ,Վայոց ձոր Եղեգիս գ. Քարագլուխ,Խմելու-կենցաղային,88.914,Տվյալ չկա,22.976,45.0,5.0,17.78
8,«Մեղրաձոր Գոլդ»(ՍՊԸ),Երկարաձգված,2021-02-18,2025-11-26,Հրազդան,Թեժ վտակ՝ Գոմուռ գետի,Մակերևութային,Կոտայք գ. Մեղրաձոր,Կոտայք գ. Մեղրաձոր,Արդյունաբերական,158.3,Գոմուռ գետ՝ հոսքաջրեր և հանքաջրեր,110.9,4.0,4.77,33.19
9,«Արփա-Սևան»(ԲԲԸ),Երկարաձգված,2021-02-22,2026-01-26,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Երևան Շենգավիթ,Երևան Շենգավիթ,Արդյունաբերական,38.0,Քաղաքային կոյուղու կոլեկտոր,25.2,2.9,4.93,7.71
10,Սյունիքի մարզ Սիսիան համայնքի Նժդեհ բնակավայր(ՏԻՄ),Նոր,2021-03-11,2026-03-11,Հարավային,«Ամունալի ձոր» կոչվող բնական աղբյուր,Ստորերկրյա,Սյունիք Սիսիան գ. Նժդեհ,Սյունիք Սիսիան գ. Նժդեհ,ջրարբիացում,4.168,Տվյալ չկա,22.976,45.0,5.0,0.83
